Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
12640900,0000011E,FALSE,Rx,0,8,4D,0A,0,0,0,0,0,0
12641151,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12641656,779,FALSE,Rx,0,8,21,F1,C1,5E,2B,F3,0,E9
12642160,000000A7,FALSE,Rx,0,8,D8,34,E0,80,FD,11,78,3E
12642411,000000A8,FALSE,Rx,0,8,83,74,5E,A8,81,64,0,0E
12642933,120,FALSE,Rx,0,8,94,0A,0,2,1,8,FF,1
12643353,121,FALSE,Rx,0,8,87,0A,0,0,3A,59,7E,FE
12644977,117,FALSE,Rx,0,8,2,0A,0,40,68,0,0,FF
12645651,0000009F,FALSE,Rx,0,8,B6,36,0,0,0,8,80,40
12645885,86,FALSE,Rx,0,8,A3,6,1,0,0,0,0,0
12647973,000003DB,FALSE,Rx,0,8,50,80,0,0,5,10,1,78
12648972,134,FALSE,Rx,0,8,0,0,0,0,0,40,1F,7D
12649952,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12650202,000000FD,FALSE,Rx,0,8,26,DA,1F,80,0,0,0,0
12650436,104,FALSE,Rx,0,8,96,3A,A6,0,E6,0,0,31
12650687,116,FALSE,Rx,0,8,7,0A,1,4,0,40,0,FF
12650938,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12651103,0000030D,FALSE,Rx,0,4,4,0,0,0,0,0,0,0
12652030,000000A7,FALSE,Rx,0,8,A3,35,E0,80,FD,11,78,3E
12652281,000000A8,FALSE,Rx,0,8,E9,75,5E,A8,81,64,0,0E
12652532,000002B7,FALSE,Rx,0,8,6,0E,0,0,0,0,0,FE
12652766,779,FALSE,Rx,0,8,22,2B,E6,0,27,2B,E7,0
12655644,0000011D,FALSE,Rx,0,8,33,0C,0,C8,0,0,0,0
12655894,86,FALSE,Rx,0,8,C7,7,1,0,0,0,0,0
12656128,0000009F,FALSE,Rx,0,8,D2,37,0,0,0,8,80,40
12658013,000003EC,FALSE,Rx,0,8,E1,0,0,0,0,0,1,0
12659399,380,FALSE,Rx,0,8,E0,4,40,0,0,0,0,FF
12659921,000000B2,FALSE,Rx,0,8,0,0,0,0,0,0,0,0
12660154,101,FALSE,Rx,0,8,E5,0B,7E,10,82,9,40,0
12660422,106,FALSE,Rx,0,8,E1,8B,64,0,0,0,FD,10
12660673,0000011E,FALSE,Rx,0,8,29,0B,0,0,0,0,0,0
12660924,135,FALSE,Rx,0,8,0,C0,0,0,0,0,0,0
12661174,0000031B,FALSE,Rx,0,8,8,0A,0,0,0,0,0,0
12661713,779,FALSE,Rx,0,8,23,2B,E9,0,0,AA,AA,AA
12662303,000000A7,FALSE,Rx,0,8,30,36,E0,80,FD,11,78,3E
12662553,000000A8,FALSE,Rx,0,8,D9,76,5E,A8,81,64,0,0E
12663126,120,FALSE,Rx,0,8,38,0B,0,2,1,8,FF,1
12663377,121,FALSE,Rx,0,8,2C,0B,0,0,3A,59,7E,FE
